rank,sender,bt_ability,land_count
1,0slot-de1,5.6925905264650085,6103
2,triton-fra,5.087382805417297,3332
3,astralane-fra,4.819903439620107,2550
4,astralane-quic-fra,4.627174976956724,2103
5,helius-dual,4.496289357637544,1845
6,nozomi-fra,3.9495978205062827,1068
7,nextblock-quic-fra,3.921105864707508,1038
8,allenhark-quic-fra,2.7781731762960273,331
9,blockrazor,2.7126270983976535,310
10,helius-fra,2.6596345682568376,294
11,syncro-fra,2.5818568672138538,272
12,bloxroute-fra,2.3326410755899336,212
13,bloxroute-quic-fra,2.207163417773053,187
14,allenhark-quic-ams,0.664934255067736,40
15,jito-multi,-2.330798017579138,2
16,allenhark-quic-ny,-23.100138616163214,0
17,allenhark-quic-tk,-23.100138616163214,0
