sender,landed,raw_unknown_pending,raw_conditional_denominator,reclassified_to_senderror,never_sent_excluded,corrected_conditional_denominator
0slot-de1,6103,16285,22388,0,1,22387
allenhark-quic-ams,40,20466,20506,0,0,20506
allenhark-quic-fra,331,22057,22388,0,13,22375
allenhark-quic-ny,0,22388,22388,0,22388,0
allenhark-quic-tk,0,22388,22388,0,22388,0
astralane-fra,2550,19835,22385,0,1,22384
astralane-quic-fra,2103,20285,22388,0,2942,19446
blockrazor,310,13223,13533,0,1376,12157
bloxroute-fra,212,22151,22363,0,6,22357
bloxroute-quic-fra,187,22201,22388,0,2990,19398
helius-dual,1845,20511,22356,2230,6,20120
helius-fra,294,22062,22356,2231,2,20123
jito-multi,2,5320,5322,0,2403,2919
nextblock-quic-fra,1038,21350,22388,0,3061,19327
nozomi-fra,1068,7516,8584,0,2383,6201
syncro-fra,272,22116,22388,0,0,22388
triton-fra,3332,19055,22387,0,0,22387
