sender_name,continent,n,p50_send_to_obs_ms,p10_send_to_obs_ms,p90_send_to_obs_ms,gate
0slot-de1,Europe,3052,81.059533,49.114343100000006,201.8005788,inferential
0slot-de1,North America,2152,160.374037,116.08737590000001,249.10082190000003,inferential
0slot-de1,Asia,849,234.189222,183.1970546,338.0784052,inferential
allenhark-quic-ams,Europe,22,49.388827500000005,31.9530593,84.51086620000005,inferential
allenhark-quic-ams,North America,10,102.72132099999999,58.741683,163.37890789999997,indicative
allenhark-quic-ams,Asia,8,210.231264,170.57690870000002,418.665411,indicative
allenhark-quic-fra,Europe,247,35.209737,21.0047962,80.5807704,inferential
allenhark-quic-fra,North America,63,118.778572,21.4745138,201.138707,inferential
allenhark-quic-fra,Asia,15,208.784464,169.9639976,234.9490114,indicative
astralane-fra,Europe,1925,49.235463,27.5572032,131.86086940000004,inferential
astralane-fra,North America,485,133.222842,45.32027660000001,215.19960760000004,inferential
astralane-fra,Asia,106,206.37456200000003,165.0190085,335.7133955,inferential
astralane-quic-fra,Europe,1309,53.083158,27.3279798,141.1670082,inferential
astralane-quic-fra,North America,346,135.500635,45.5634445,236.809507,inferential
astralane-quic-fra,Asia,91,191.055682,162.785299,307.820281,inferential
blockrazor,Europe,94,40.461864,19.592867000000002,106.96829620000001,inferential
blockrazor,North America,35,111.330759,70.910537,172.9075354,inferential
blockrazor,Asia,177,176.325493,160.5243036,212.71151480000003,inferential
bloxroute-fra,Europe,104,34.902474,18.971854500000003,118.71351410000001,inferential
bloxroute-fra,North America,36,122.07737449999999,94.88445949999999,184.5706695,inferential
bloxroute-fra,Asia,58,191.95353949999998,171.4173433,256.297575,inferential
bloxroute-quic-fra,Europe,72,45.2160245,19.7092816,200.7068226,inferential
bloxroute-quic-fra,North America,28,131.09336100000002,85.6202538,238.93924460000002,inferential
bloxroute-quic-fra,Asia,53,192.519323,169.2092782,215.1581968,inferential
helius-dual,Europe,1558,26.488234,14.4646817,60.520474999999976,inferential
helius-dual,North America,112,115.8947515,93.3655798,194.28063670000003,inferential
helius-dual,Asia,167,183.694438,160.7902812,239.47587000000001,inferential
helius-fra,Europe,98,34.054747,14.6101537,94.54233989999997,inferential
helius-fra,North America,54,164.83367149999998,103.2588783,216.52775960000002,inferential
helius-fra,Asia,135,180.666599,163.3681404,254.60119540000002,inferential
jito-multi,Europe,2,618.5632350000001,166.575483,1070.550987,suppress
nextblock-quic-fra,Europe,703,26.116997,12.5891348,59.039671,inferential
nextblock-quic-fra,North America,143,148.581067,41.0852694,176.431271,inferential
nextblock-quic-fra,Asia,52,167.4840165,157.0235753,401.02296349999983,inferential
nozomi-fra,Europe,596,49.407224,26.1639285,141.5304975,inferential
nozomi-fra,North America,324,136.7282965,43.770593500000004,226.5607368,inferential
nozomi-fra,Asia,140,191.83114999999998,161.3167238,303.6599355,inferential
syncro-fra,Europe,228,34.913628,23.704445,61.53720040000002,inferential
syncro-fra,North America,20,137.782888,63.6730011,216.22038070000002,inferential
syncro-fra,Asia,10,187.493251,123.8027278,224.0562275,indicative
triton-fra,Europe,1909,53.75477,28.472389200000002,111.8676822,inferential
triton-fra,North America,924,124.3486205,56.1018483,199.021938,inferential
triton-fra,Asia,482,199.581106,163.8299875,261.8643377,inferential
