sender_name,n_land,trigger_to_send_p50_ms,send_rtt_p50_ms,ack_to_obs_p50_ms,send_to_obs_p50_ms,trigger_to_obs_p50_ms,fragile
0slot-de1,6103,0.13037600000001248,1.6138664999999999,137.56381900000002,139.20202899999998,139.331799,False
allenhark-quic-ams,40,0.1459559999999982,6.742172999999999,54.016588,60.963183,61.110849,True
allenhark-quic-fra,331,0.12148099999998863,0.856166,39.503223,40.380459,40.52516,False
astralane-fra,2550,0.10523100000000696,1.082528,56.846064999999996,57.952623,58.015683,False
astralane-quic-fra,2103,0.1046905000000038,0.00435,61.00743799999999,61.009658,61.065034,False
blockrazor,310,0.1254054999999994,0.871441,162.61351200000001,166.167412,166.273711,False
bloxroute-fra,212,0.11655600000000987,0.978772,112.6931735,113.66261549999999,113.7738515,False
bloxroute-quic-fra,187,0.11933099999999897,0.012351,165.513264,165.528125,165.195475,False
helius-dual,1845,0.12042100000000033,0.948396,26.836521,29.571341,29.659307,False
helius-fra,294,0.1261959999999931,1.1741885,163.609663,165.8274395,165.9395905,False
jito-multi,2,0.1397109999999735,6.5027905,612.0604445,618.5632350000001,618.702946,True
nextblock-quic-fra,1038,0.1202760000000005,0.004055,30.874384499999998,30.8829895,31.3148455,False
nozomi-fra,1068,0.1353910000000056,1.082877,71.603007,73.383111,73.4119225,False
syncro-fra,272,0.11789600000000178,13.2944445,24.518735,40.4776115,40.659638,False
triton-fra,3332,0.12749000000000166,2.851011,75.71892899999999,80.249031,80.419272,False
