sender_name,metric,n_land,n,p1,p10,p50,p90,p99,iqr,max,fragile
0slot-de1,trigger_to_obs_ms,6103,6103,33.209406300000005,56.0717874,139.331799,261.4549314,654.5191020199999,122.1533735,4356.591549,False
0slot-de1,send_to_obs_ms,6103,6102,33.02227935,55.912656500000004,139.20202899999998,261.3122219,654.3677676199999,122.16845675,4356.486558,False
0slot-de1,rtt_ms,6103,6102,1.4436106,1.4783339,1.6138664999999999,1.963789,2.1375537999999996,0.24212699999999998,205.847304,False
0slot-de1,trigger_to_land_ticks,6103,6103,5.0,10.0,23.0,44.0,100.89999999999782,19.0,1496.0,False
allenhark-quic-ams,trigger_to_obs_ms,40,40,24.49649655,33.5214935,61.110849,252.67164860000003,495.64259166999994,102.88099574999998,538.266178,True
allenhark-quic-ams,send_to_obs_ms,40,40,24.35265995,33.4389026,60.963183,252.55860950000002,495.48264116999997,102.84262750000002,538.114827,True
allenhark-quic-ams,rtt_ms,40,40,6.5750784,6.6138281,6.742172999999999,7.033609,7.34499571,0.22372250000000005,7.349992,True
allenhark-quic-ams,trigger_to_land_ticks,40,40,3.39,5.0,14.5,39.1,66.68999999999998,23.5,78.0,True
allenhark-quic-fra,trigger_to_obs_ms,331,331,13.356060900000001,21.279442,40.52516,183.944925,312.85920009999916,60.1652205,1210.839843,False
allenhark-quic-fra,send_to_obs_ms,331,331,13.2628602,21.18469,40.380459,183.813914,312.75982509999915,60.228820999999996,1210.746103,False
allenhark-quic-fra,rtt_ms,331,331,0.692526,0.767545,0.856166,0.994057,1.2957609999999995,0.11320050000000004,1.346859,False
allenhark-quic-fra,trigger_to_land_ticks,331,331,2.0,3.0,7.0,32.0,48.69999999999999,11.5,1447.0,False
astralane-fra,trigger_to_obs_ms,2550,2550,14.695451680000001,30.670574600000002,58.015683,188.49349719999995,338.8722411899998,79.933054,1659.886141,False
astralane-fra,send_to_obs_ms,2550,2550,14.62027198,30.593223300000002,57.952623,188.41695209999997,338.78423988999975,79.94334649999999,1659.74905,False
astralane-fra,rtt_ms,2550,2550,0.8857566099999999,1.029853,1.082528,1.1444059,1.2453826999999984,0.05491574999999993,1.655422,False
astralane-fra,trigger_to_land_ticks,2550,2550,2.0,5.0,10.0,31.0,51.0,12.0,241.0,False
astralane-quic-fra,trigger_to_obs_ms,2103,2103,13.8269656,30.9218224,61.065034,192.785839,391.3582615000001,88.92820049999999,1984.708109,False
astralane-quic-fra,send_to_obs_ms,2103,1764,14.17875553,30.6594157,61.009658,192.59821870000002,381.05794615999895,87.60941124999998,1984.536368,False
astralane-quic-fra,rtt_ms,2103,1764,0.00184,0.0023637,0.00435,0.012087,0.02631306999999992,0.0070225,0.06272,False
astralane-quic-fra,trigger_to_land_ticks,2103,2103,2.0,5.0,11.0,31.0,53.98000000000002,13.0,273.0,False
blockrazor,trigger_to_obs_ms,310,310,14.07460934,31.6759797,166.273711,209.21802390000002,315.32090166,118.0639175,348.087566,False
blockrazor,send_to_obs_ms,310,310,14.017925439999999,31.580803600000003,166.167412,209.0459969,315.1554422600001,118.13299024999999,347.959955,False
blockrazor,rtt_ms,310,310,0.8063045,0.828109,0.871441,11.527472000000001,11.61444969,5.2198095,11.714682,False
blockrazor,trigger_to_land_ticks,310,310,2.0,5.0,29.0,36.0,44.910000000000025,20.0,58.0,False
bloxroute-fra,trigger_to_obs_ms,212,212,12.870451000000001,22.473794599999998,113.7738515,215.1713497,450.7757486099989,154.26490474999997,6132.255146,False
bloxroute-fra,send_to_obs_ms,212,212,12.83789089,22.254562699999997,113.66261549999999,215.0645867,450.64730740999886,154.236345,6132.116625,False
bloxroute-fra,rtt_ms,212,212,0.870745,0.8980399,0.978772,6.2945429,11.81520269,0.09392750000000005,12.76921,False
bloxroute-fra,trigger_to_land_ticks,212,212,2.0,4.0,21.5,38.0,55.66999999999996,27.0,715.0,False
bloxroute-quic-fra,trigger_to_obs_ms,187,187,13.89343986,24.2590754,165.195475,214.8773766,518.0081312999957,143.370703,2076.002802,False
bloxroute-quic-fra,send_to_obs_ms,187,159,12.1992618,24.452252599999998,165.528125,214.66603120000002,604.9299014799961,148.782041,2075.956602,False
bloxroute-quic-fra,rtt_ms,187,159,0.0069928,0.00796,0.012351,0.024796,0.04405539999999999,0.010155,0.044681,False
bloxroute-quic-fra,trigger_to_land_ticks,187,187,1.86,4.0,26.0,38.0,55.81999999999914,26.0,122.0,False
helius-dual,trigger_to_obs_ms,1845,1845,8.55713796,15.5990832,29.659307,171.46709420000002,366.78588539999976,33.332395,1920.305355,False
helius-dual,send_to_obs_ms,1845,1845,8.4712822,15.4355368,29.571341,171.35838840000002,366.64893403999974,33.255854,1920.188864,False
helius-dual,rtt_ms,1845,1845,0.81618636,0.87804,0.948396,11.682307,11.8961356,0.18403200000000008,13.569706,False
helius-dual,trigger_to_land_ticks,1845,1845,1.0,2.0,5.0,30.0,55.11999999999989,6.0,206.0,False
helius-fra,trigger_to_obs_ms,294,294,13.049717809999999,23.6938353,165.9395905,220.77688929999997,350.2677856699993,128.4606905,1076.834896,False
helius-fra,send_to_obs_ms,294,294,12.97667894,23.5490246,165.8274395,220.68143759999995,350.12815669999924,128.371598,1076.689195,False
helius-fra,rtt_ms,294,294,0.80148027,1.112042,1.1741885,11.5288033,11.6698668,0.08520850000000002,12.457258,False
helius-fra,trigger_to_land_ticks,294,294,1.0,4.0,29.0,39.0,59.11999999999989,21.0,162.0,False
jito-multi,trigger_to_obs_ms,2,2,65.0713108,166.758754,618.702946,1070.647138,1172.3345812,564.9302399999999,1183.633186,True
jito-multi,send_to_obs_ms,2,2,64.87823879999999,166.575483,618.5632350000001,1070.550987,1172.2482312,564.98469,1183.547925,True
jito-multi,rtt_ms,2,2,1.24001165,2.2066445000000003,6.5027905,10.7989365,11.76556935,5.3701824999999985,11.872973,True
jito-multi,trigger_to_land_ticks,2,2,10.41,23.1,79.5,135.9,148.59,70.5,150.0,True
nextblock-quic-fra,trigger_to_obs_ms,1038,1038,7.5456186,14.379006,31.3148455,162.5582476,289.48729456999956,43.72604625000001,1041.81857,False
nextblock-quic-fra,send_to_obs_ms,1038,898,7.34087197,14.007992,30.8829895,162.4949983,294.3514003899966,45.08607525000001,1041.655739,False
nextblock-quic-fra,rtt_ms,1038,898,0.0017197,0.0023,0.004055,0.0116167,0.022000729999999982,0.006032500000000001,0.067401,False
nextblock-quic-fra,trigger_to_land_ticks,1038,1038,1.0,2.0,6.0,29.0,41.62999999999988,9.0,164.0,False
nozomi-fra,trigger_to_obs_ms,1068,1068,15.712644209999999,32.2720512,73.4119225,226.9892651,378.57424773999975,124.80341200000001,666.180878,False
nozomi-fra,send_to_obs_ms,1068,1067,15.59399632,32.0779122,73.383111,226.8603748,378.49610725999963,124.81114649999999,666.073318,False
nozomi-fra,rtt_ms,1068,1067,0.9002924,1.0017070000000001,1.082877,5.890213,6.02517066,4.737659500000001,6.196324,False
nozomi-fra,trigger_to_land_ticks,1068,1068,3.0,5.0,13.0,37.0,58.32999999999993,22.0,110.0,False
syncro-fra,trigger_to_obs_ms,272,272,21.9614042,23.9290811,40.659638,178.32171220000006,238.9495444800001,31.062587000000004,244.097244,False
syncro-fra,send_to_obs_ms,272,272,21.799813999999998,23.8135459,40.4776115,178.20590510000005,238.7767260700001,31.00094225,243.916113,False
syncro-fra,rtt_ms,272,272,11.4327591,12.004288,13.2944445,21.154529,22.551736060000007,6.982452249999998,23.904576,False
syncro-fra,trigger_to_land_ticks,272,272,2.71,3.0,5.0,27.80000000000001,36.58000000000004,4.0,43.0,False
triton-fra,trigger_to_obs_ms,3332,3332,17.27489992,33.432606799999995,80.419272,209.7354285,501.6525676,108.42760799999998,3909.424976,False
