trigger_id,intended_slot,intended_leader,intended_continent,observed_slot,observed_leader,observed_continent,sender_name,pop,slots_behind
20260610-161746#108948560696,425580315,AWcCdYG7...,Europe,425580316,LUX8 Validator,North America,0slot-de1,0slot-de1,1
20260610-161746#108948561691,425580319,LUX8 Validator,North America,425580320,Staking Facilities | MEV 🔥,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948581161,425580395,Alchemy,Asia,425580396,Ledger by Figment,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948609847,425580507,LakeStake,North America,425580508,binance staking,North America,0slot-de1,0slot-de1,1
20260610-161813#108948613943,425580523,OKX Earn,Asia,425580524,Hamsa,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948615988,425580531,AHZxzLeR...,North America,425580532,Moise,Asia,0slot-de1,0slot-de1,1
20260610-161813#108948616989,425580535,Moise,Asia,425580536,HbidP4hp...,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948629301,425580583,8tjFeSAp...,North America,425580584,Ha1iad3,Asia,0slot-de1,0slot-de1,1
20260610-161813#108948631356,425580591,pSoLoZx5...,Europe,425580592,Firedancer Development,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948646712,425580651,StakeBowl,Europe,425580652,Galaxy,North America,0slot-de1,0slot-de1,1
20260610-161813#108948652850,425580675,P2P.org Labs,South America,425580676,DeepStake,North America,0slot-de1,0slot-de1,1
20260610-161813#108948662071,425580711,5EhGYUyQ...,Asia,425580712,6k5hZkHG...,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948668209,425580735,Nansen | Stake to Stack Points,Asia,425580736,Ledger by Figment,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948669238,425580739,Ledger by Figment,Europe,425580740,melea 🚀 SOL 🤑2K,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948671294,425580747,Alchemy,Asia,425580748,🔥Aurora staking,Asia,0slot-de1,0slot-de1,1
20260610-161813#108948690735,425580823,Validatore,Europe,425580824,binance staking,North America,0slot-de1,0slot-de1,1
20260610-161813#108948702006,425580867,Neumann,Asia,425580868,Solflare,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948710208,425580899,stake.systems,Europe,425580900,Harmonic Major,Asia,0slot-de1,0slot-de1,1
20260610-161813#108948711205,425580903,Harmonic Major,Asia,425580904,Helius,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948713279,425580911,A1vqhA2f...,Europe,425580912,Ledger by Figment,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948717370,425580927,Coinbase 05,Europe,425580928,Neumann,Asia,0slot-de1,0slot-de1,1
20260610-161813#108948721441,425580943,Shinobi Systems 🚀 stakeview.app,North America,425580944,76rcGHdP...,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948727608,425580967,binance staking,North America,425580968,9jxgosAf...,Europe,0slot-de1,0slot-de1,1
20260610-161813#108948733753,425580991,MARVEL+MEV!,South America,425580992,Velox Validator,North America,0slot-de1,0slot-de1,1
