trigger_id,slot,tick,leader_identity,leader_name,sv_continent,sv_country,n_senderror,n_unknownpending
20260610-161746#108948567301,425580341,5,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,Sanctum,Europe,Germany,3,14
20260610-161813#108948586532,425580416,36,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Europe,Germany,2,15
20260610-161813#108948590348,425580431,12,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Europe,Germany,3,14
20260610-161813#108948616487,425580533,39,HW4zorvt6xDwhU36RqjcWNwU8YMj9tiqnAafBKW4cqV,Moise,Asia,Hong Kong S.A.R.,3,14
20260610-161813#108948618814,425580542,62,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,Europe,Netherlands,2,15
20260610-161813#108948620319,425580548,31,7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,Blockdaemon 🧱👿 Validator,Europe,Netherlands,2,15
20260610-161813#108948620590,425580549,46,7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,Blockdaemon 🧱👿 Validator,Europe,Netherlands,2,15
20260610-161813#108948623904,425580562,32,EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,,Europe,Netherlands,3,14
20260610-161813#108948624655,425580565,15,BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,BONK,North America,United States,2,15
20260610-161813#108948629518,425580584,14,Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU,Ha1iad3,Asia,Japan,3,14
20260610-161813#108948637497,425580615,57,BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,DeFi Dev Corp (NASDAQ: DFDV),Europe,Germany,1,16
20260610-161813#108948641835,425580632,43,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,,Europe,Germany,3,14
20260610-161813#108948647221,425580653,53,9eGrDohdNTAo61DRHyfMuqKWXqYnA3i254Wiszxe8FoY,Galaxy,North America,United States,2,15
20260610-161813#108948654082,425580680,2,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,Sanctum,Europe,Germany,1,16
20260610-161813#108948658493,425580697,61,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,,Europe,Ireland,1,16
20260610-161813#108948664117,425580719,53,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,,Europe,United Kingdom,2,15
20260610-161813#108948665862,425580726,6,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,,Europe,Lithuania,3,14
20260610-161813#108948666154,425580727,42,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,,Europe,Lithuania,2,15
20260610-161813#108948672286,425580751,30,9AW87WqARQonyJYhx1G25fKfvjURFYVmHs79z1NUXDPD,🔥Aurora staking,Asia,Japan,1,16
20260610-161813#108948673802,425580757,10,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,Bitwise Onchain Solutions,Europe,Germany,1,16
