sender_name,protocol_class,n_landed,tick_median,tick_p10,tick_p90,early_0_15_share,late_48_63_share,gate
0slot-de1,RELAY,6103,27.0,8.0,57.0,0.31705718499098806,0.22038341799115188,inferential
triton-fra,RELAY,3332,34.0,9.0,58.0,0.20438175270108044,0.297719087635054,inferential
astralane-fra,RELAY,2550,28.0,10.0,54.0,0.2796078431372549,0.18980392156862744,inferential
astralane-quic-fra,QUIC_TPU,2103,28.0,10.0,54.0,0.28007608178792204,0.1873514027579648,inferential
helius-dual,HTTP_JSONRPC,1845,33.0,7.0,57.0,0.23848238482384823,0.2785907859078591,inferential
nozomi-fra,RELAY,1068,35.0,10.0,56.0,0.19382022471910113,0.2687265917602996,inferential
nextblock-quic-fra,QUIC_TPU,1038,39.0,11.0,58.0,0.14547206165703275,0.3371868978805395,inferential
allenhark-quic-fra,QUIC_TPU,331,33.0,6.0,59.0,0.2537764350453172,0.31722054380664655,inferential
blockrazor,RELAY,310,38.0,8.0,58.0,0.17096774193548386,0.3548387096774194,inferential
helius-fra,HTTP_JSONRPC,294,42.0,10.0,59.0,0.18027210884353742,0.38095238095238093,inferential
syncro-fra,RELAY,272,29.5,3.1000000000000014,57.900000000000006,0.27941176470588236,0.2647058823529412,inferential
bloxroute-fra,RELAY,212,36.5,11.100000000000001,57.900000000000006,0.1650943396226415,0.2830188679245283,inferential
bloxroute-quic-fra,QUIC_TPU,187,36.0,7.600000000000001,57.0,0.19786096256684493,0.3155080213903743,inferential
allenhark-quic-ams,QUIC_TPU,40,34.5,1.0,59.1,0.375,0.3,inferential
jito-multi,JITO,2,23.5,13.5,33.5,0.5,0.0,long_tail
