sender_a,sender_b,b_a_only,c_b_only,n_discordant,diff_b_minus_c,p_value,p_adj_bh,significant_fdr05
0slot-de1,allenhark-quic-ams,6103,40,6143,6063,0.0,0.0,True
0slot-de1,allenhark-quic-fra,6103,331,6434,5772,0.0,0.0,True
0slot-de1,allenhark-quic-ny,6103,0,6103,6103,0.0,0.0,True
0slot-de1,allenhark-quic-tk,6103,0,6103,6103,0.0,0.0,True
0slot-de1,astralane-fra,6103,2550,8653,3553,0.0,0.0,True
0slot-de1,astralane-quic-fra,6103,2103,8206,4000,0.0,0.0,True
0slot-de1,blockrazor,6103,310,6413,5793,0.0,0.0,True
0slot-de1,bloxroute-fra,6103,212,6315,5891,0.0,0.0,True
0slot-de1,bloxroute-quic-fra,6103,187,6290,5916,0.0,0.0,True
0slot-de1,helius-dual,6103,1845,7948,4258,0.0,0.0,True
0slot-de1,helius-fra,6103,294,6397,5809,0.0,0.0,True
0slot-de1,jito-multi,6103,2,6105,6101,0.0,0.0,True
0slot-de1,nextblock-quic-fra,6103,1038,7141,5065,0.0,0.0,True
0slot-de1,nozomi-fra,6103,1068,7171,5035,0.0,0.0,True
0slot-de1,syncro-fra,6103,272,6375,5831,0.0,0.0,True
allenhark-quic-ams,astralane-fra,40,2550,2590,-2510,0.0,0.0,True
allenhark-quic-ams,triton-fra,40,3332,3372,-3292,0.0,0.0,True
allenhark-quic-ams,astralane-quic-fra,40,2103,2143,-2063,0.0,0.0,True
allenhark-quic-ams,helius-dual,40,1845,1885,-1805,0.0,0.0,True
allenhark-quic-ny,triton-fra,0,3332,3332,-3332,0.0,0.0,True
allenhark-quic-ny,astralane-fra,0,2550,2550,-2550,0.0,0.0,True
allenhark-quic-ny,astralane-quic-fra,0,2103,2103,-2103,0.0,0.0,True
allenhark-quic-fra,triton-fra,331,3332,3663,-3001,0.0,0.0,True
allenhark-quic-tk,helius-dual,0,1845,1845,-1845,0.0,0.0,True
allenhark-quic-ny,helius-dual,0,1845,1845,-1845,0.0,0.0,True
allenhark-quic-tk,astralane-quic-fra,0,2103,2103,-2103,0.0,0.0,True
allenhark-quic-tk,astralane-fra,0,2550,2550,-2550,0.0,0.0,True
allenhark-quic-fra,astralane-fra,331,2550,2881,-2219,0.0,0.0,True
astralane-fra,syncro-fra,2550,272,2822,2278,0.0,0.0,True
astralane-fra,bloxroute-quic-fra,2550,187,2737,2363,0.0,0.0,True
allenhark-quic-tk,triton-fra,0,3332,3332,-3332,0.0,0.0,True
astralane-fra,blockrazor,2550,310,2860,2240,0.0,0.0,True
blockrazor,triton-fra,310,3332,3642,-3022,0.0,0.0,True
bloxroute-fra,helius-dual,212,1845,2057,-1633,0.0,0.0,True
bloxroute-quic-fra,helius-dual,187,1845,2032,-1658,0.0,0.0,True
astralane-quic-fra,bloxroute-fra,2103,212,2315,1891,0.0,0.0,True
astralane-quic-fra,jito-multi,2103,2,2105,2101,0.0,0.0,True
astralane-quic-fra,syncro-fra,2103,272,2375,1831,0.0,0.0,True
astralane-quic-fra,bloxroute-quic-fra,2103,187,2290,1916,0.0,0.0,True
astralane-quic-fra,helius-fra,2103,294,2397,1809,0.0,0.0,True
astralane-quic-fra,blockrazor,2103,310,2413,1793,0.0,0.0,True
astralane-fra,bloxroute-fra,2550,212,2762,2338,0.0,0.0,True
