sender_name,WON,LOST_RACE,NEVER_SENT,THROTTLED_LOCAL,PROVIDER_REJECTED,SERVER_ERROR
0slot-de1,6103,16284,1,0,0,0
triton-fra,3332,19055,0,0,1,0
astralane-fra,2550,19834,1,0,3,0
astralane-quic-fra,2103,17343,2942,0,0,0
helius-dual,1845,18275,6,0,32,2230
nozomi-fra,1068,5133,2383,13804,0,0
nextblock-quic-fra,1038,18289,3061,0,0,0
allenhark-quic-fra,331,22044,13,0,0,0
blockrazor,310,11847,1376,8833,22,0
helius-fra,294,19829,2,0,32,2231
syncro-fra,272,22116,0,0,0,0
bloxroute-fra,212,22145,6,0,25,0
bloxroute-quic-fra,187,19211,2990,0,0,0
allenhark-quic-ams,40,20466,0,0,1882,0
jito-multi,2,2917,2403,13783,3283,0
allenhark-quic-ny,0,0,22388,0,0,0
allenhark-quic-tk,0,0,22388,0,0,0
