sender_name,protocol_class,n_attempts,landed,send_error,unknown_pending,n_sent,never_sent,coverage,up_never_sent,up_sent_but_lost,operational_rate,operational_lo,operational_hi,conditional_denom,conditional_rate,conditional_lo,conditional_hi
0slot-de1,RELAY,22388,6103,0,16285,22386,2,0.9999106664284438,1,16284,0.27260139360371627,0.2668077921452094,0.27847301833547294,22388,0.27260139360371627,0.2668077921452094,0.27847301833547294
triton-fra,RELAY,22388,3332,1,19055,22385,3,0.9998659996426658,0,19055,0.1488297302126139,0.14422775827280998,0.15355219301360234,22387,0.1488363782552374,0.14423421784740767,0.15355903262438067
astralane-fra,RELAY,22388,2550,3,19835,22387,1,0.9999553332142219,1,19834,0.1139003037341433,0.10980492616428231,0.11812815688325623,22385,0.113915568461023,0.1098196753461565,0.11814394966803096
astralane-quic-fra,QUIC_TPU,22388,2103,0,20285,19107,3281,0.853448275862069,2942,17343,0.09393425049133465,0.09018212032194703,0.09782570683968797,22388,0.09393425049133465,0.09018212032194703,0.09782570683968797
helius-dual,HTTP_JSONRPC,22388,1845,32,20511,22382,6,0.9997319992853314,6,20505,0.08241021976058603,0.07887936064181746,0.08608435909573899,22356,0.08252818035426732,0.07899247959267323,0.08620732585422618
nozomi-fra,RELAY,22388,1068,13804,7516,20004,2384,0.8935143827050206,2383,5133,0.0477041272110059,0.04498895371329726,0.05057448901453423,8584,0.1244175209692451,0.11760286046311984,0.13156818782432061
nextblock-quic-fra,QUIC_TPU,22388,1038,0,21350,19187,3201,0.8570216187243166,3061,18289,0.046364123637663034,0.04368671158013759,0.049197183772801044,22388,0.046364123637663034,0.04368671158013759,0.049197183772801044
allenhark-quic-fra,QUIC_TPU,22388,331,0,22057,22375,13,0.9994193317848847,13,22044,0.01478470609254958,0.013284964244758585,0.016450931306538418,22388,0.01478470609254958,0.013284964244758585,0.016450931306538418
blockrazor,RELAY,22388,310,8855,13223,21012,1376,0.9385385027693407,1376,11847,0.013846703591209576,0.012397281704130177,0.015462930684741825,13533,0.022906968151924924,0.020518486895767546,0.025566226493129757
helius-fra,HTTP_JSONRPC,22388,294,32,22062,22386,2,0.9999106664284438,2,22060,0.01313203501876005,0.011722150262949626,0.014708970192646187,22356,0.013150831991411701,0.011738940463781678,0.014730006550474526
syncro-fra,RELAY,22388,272,0,22116,22388,0,1.0,0,22116,0.01214936573164195,0.010795707605448377,0.013670411441892676,22388,0.01214936573164195,0.010795707605448377,0.013670411441892676
bloxroute-fra,RELAY,22388,212,25,22151,22382,6,0.9997319992853314,6,22145,0.009469358584956226,0.00828220353358376,0.010824820763971581,22363,0.00947994455126772,0.008291467537716478,0.01083691317747693
bloxroute-quic-fra,QUIC_TPU,22388,187,0,22201,19370,3018,0.865195640521708,2990,19211,0.008352688940503842,0.0072420024896803995,0.0096320656621309,22388,0.008352688940503842,0.0072420024896803995,0.0096320656621309
allenhark-quic-ams,QUIC_TPU,22388,40,1882,20466,22388,0,1.0,0,20466,0.0017866714311238164,0.0013124356926704373,0.0024318503221658692,20506,0.0019506485906563933,0.0014329148896150019,0.002654949903929578
jito-multi,JITO,22388,2,17066,5320,19985,2403,0.8926657137752367,2403,2917,8.933357155619081e-05,2.4498829355639742e-05,0.0003256938439497165,5322,0.0003757985719654265,0.0001030635731958928,0.0013692781931379603
allenhark-quic-ny,QUIC_TPU,22388,0,0,22388,0,22388,0.0,22388,0,0.0,1.3552527156068805e-20,0.00017155618164583255,22388,0.0,1.3552527156068805e-20,0.00017155618164583255
allenhark-quic-tk,QUIC_TPU,22388,0,0,22388,0,22388,0.0,22388,0,0.0,1.3552527156068805e-20,0.00017155618164583255,22388,0.0,1.3552527156068805e-20,0.00017155618164583255
