id,name,wins,sent,win_pct,share_pct,blocked,rtt_avg_us,obs_avg_us
0,helius-dual,1845,22356,8.3,9.4,32,6270.0,62146.0
1,helius-fra,294,22356,1.3,1.5,32,6586.0,145995.0
2,jito-multi,2,5322,0.0,0.0,17066,3981.0,618563.0
3,triton-fra,3332,22387,14.9,16.9,1,5010.0,116297.0
4,syncro-fra,272,22388,1.2,1.4,0,15324.0,63584.0
5,0slot-de1,6103,22388,27.3,31.0,0,1817.0,159520.0
6,allenhark-quic-fra,331,22388,1.5,1.7,0,1031.0,74988.0
7,allenhark-quic-ams,40,20506,0.2,0.2,1882,33957.0,119164.0
8,allenhark-quic-ny,0,22388,0.0,0.0,0,,
9,allenhark-quic-tk,0,22388,0.0,0.0,0,,
10,blockrazor,310,13533,2.3,1.6,8855,3390.0,141477.0
11,nozomi-fra,1068,8584,12.4,5.4,13804,832.0,110088.0
12,astralane-fra,2550,22385,11.4,13.0,3,1082.0,88810.0
13,astralane-quic-fra,2103,22388,9.4,10.7,0,6.0,97831.0
14,nextblock-quic-fra,1038,22388,4.6,5.3,0,6.0,62031.0
15,bloxroute-fra,212,22363,0.9,1.1,25,11286.0,151397.0
16,bloxroute-quic-fra,187,22388,0.8,0.9,0,16.0,147674.0
