term,coef,se,odds_ratio,or_ci_lo,or_ci_hi,p_value
intercept,-1.580981916662576,0.01907232881381391,0.2057729470878976,0.19822292570213385,0.2136105377481213,0.0
0slot-de1,0.7944516103632885,0.027891681269266794,2.2132269532252016,2.0954847683358073,2.337584897060693,1.877672425596822e-178
allenhark-quic-ams,-4.614731995579076,0.1612873296450457,0.009904837591547965,0.007220368036110602,0.013587369400603072,4.782452486047878e-180
allenhark-quic-fra,-2.472414848122579,0.05944622611370587,0.0843808458431442,0.0751005564847843,0.0948079145944416,0.0
astralane-fra,-0.3210081220342719,0.030833660585125593,0.7254173591015621,0.6828766839538019,0.7706081599375347,2.209731960153533e-25
astralane-quic-fra,-0.5560669242578096,0.03360519745544216,0.5734600962001425,0.5369061854402827,0.6125026882754243,1.681387839276517e-61
blockrazor,-2.4885487229098433,0.061664209650804,0.08303037926516357,0.07357806313095519,0.09369700135550997,0.0
bloxroute-fra,-2.9364272273312064,0.07252173387659762,0.05305494377899266,0.04602515363342127,0.06115845004693432,0.0
bloxroute-quic-fra,-3.078641742695515,0.08244908846401328,0.04602172355856097,0.03915453656949147,0.05409332416798194,3.6963777616352207e-305
helius-dual,-0.6787278347599394,0.03311630135291935,0.5072619030227845,0.47538294834637246,0.5412786452550941,2.372231387399147e-93
helius-fra,-2.5943073102667245,0.06257479766991694,0.07469760041881666,0.06607586945044557,0.08444431461494109,0.0
jito-multi,-7.506631712343398,0.7157778445753004,0.0005494286090795195,0.00013509524515209335,0.002234510889966564,9.873181658517991e-26
nextblock-quic-fra,-1.2926492265103535,0.040815520161591325,0.2745424935615801,0.25343543668122315,0.2974074255677861,3.95609643521307e-220
nozomi-fra,-1.1547116515474014,0.038629871273124845,0.31514839635562064,0.2921684358343363,0.3399358025855825,2.52439316129457e-196
syncro-fra,-2.6740172917114307,0.06472840530946446,0.06897457698916555,0.060756413221897204,0.07830436358148408,0.0
send_order (centered),-0.01328211835897345,0.0019765469159950203,0.9868056997416457,0.9829902484002454,0.9906359606591961,1.818993708079862e-11
continent_match,-0.013337234776126056,0.0025913182673592615,0.9867513120458913,0.9817524153744055,0.9917756621489561,2.6483796215118193e-07
