key,value
run_id,20260601-150500
epoch,980
epoch_first_slot,423360000
n_rows,380596
n_triggers,22388
n_senders,17
senders,0slot-de1|allenhark-quic-ams|allenhark-quic-fra|allenhark-quic-ny|allenhark-quic-tk|astralane-fra|astralane-quic-fra|blockrazor|bloxroute-fra|bloxroute-quic-fra|helius-dual|helius-fra|jito-multi|nextblock-quic-fra|nozomi-fra|syncro-fra|triton-fra
slot_min,425580166
slot_max,425713841
n_distinct_slots,22388
window_seconds,7585.613
send_at_min_ns,63796398
send_at_max_ns,7585677090380
n_landed,19687
n_send_error,41700
n_unknown_pending,319209
n_leaders,564
n_leader_cities,79
n_leader_countries,32
observation_source,SS=19687
client_region,Frankfurt
tx_priority_fee_microlamports,5000
tx_compute_unit_limit,200000
