sender_name,protocol_class,landed,unknown_pending,send_error,conditional_winrate,send_to_obs_p50_ms,coverage,tip_lamports,cost_per_landing_sol,eu_land_rate,non_eu_land_rate,geo_dependence_gap,dominant_blocker,verdict,lever
0slot-de1,RELAY,6103,16285,0,0.27260139360371627,139.20202899999998,0.9999106664284438,1000000,0.001,0.21873432236794954,0.36170717249555423,-0.1429728501276047,sent_but_lost,INVEST,top conditional win-rate at full coverage -> scale up
triton-fra,RELAY,3332,19055,1,0.1488363782552374,80.249031,0.9998659996426658,0,0.0,0.13695979359277574,0.16846473029045644,-0.0315049366976807,sent_but_lost,DEPRIORITIZE,low conditional win-rate (14.9%)
nozomi-fra,RELAY,1068,7516,13804,0.1244175209692451,73.383111,0.8935143827050206,1000000,0.001,0.04278649752741346,0.05583876704208655,-0.013052269514673087,SendError,IMPROVE,rate-limited (SendError) -> lift throttle / raise rate limit
astralane-fra,RELAY,2550,19835,3,0.113915568461023,57.952623,0.9999553332142219,1000000,0.001,0.13796316204400488,0.07409602845287493,0.06386713359112996,sent_but_lost,DEPRIORITIZE,low conditional win-rate (11.4%)
astralane-quic-fra,QUIC_TPU,2103,20285,0,0.09393425049133465,61.009658,0.853448275862069,1000000,0.001,0.11151723643660862,0.06484884410195614,0.046668392334652475,sent_but_lost,DEPRIORITIZE,low conditional win-rate (9.4%)
helius-dual,HTTP_JSONRPC,1845,20511,32,0.08252818035426732,29.571341,0.9997319992853314,200000,0.0002,0.1116605747867842,0.03402489626556016,0.07763567852122405,sent_but_lost,DEPRIORITIZE,low conditional win-rate (8.3%)
nextblock-quic-fra,QUIC_TPU,1038,21350,0,0.046364123637663034,30.8829895,0.8570216187243166,1000000,0.001,0.05884039274707948,0.025726141078838173,0.03311425166824131,sent_but_lost,DEPRIORITIZE,low conditional win-rate (4.6%)
blockrazor,RELAY,310,13223,8855,0.022906968151924924,166.167412,0.9385385027693407,100000,0.0001,0.006736902458252705,0.025607587433313574,-0.018870684975060868,sent_but_lost,DEPRIORITIZE,low conditional win-rate (2.3%)
allenhark-quic-fra,QUIC_TPU,331,22057,0,0.01478470609254958,40.380459,0.9994193317848847,1000000,0.001,0.017702286246685302,0.00995850622406639,0.007743780022618912,sent_but_lost,DEPRIORITIZE,low conditional win-rate (1.5%)
helius-fra,HTTP_JSONRPC,294,22062,32,0.013150831991411701,165.8274395,0.9999106664284438,5000,5e-06,0.007023579158603885,0.023236514522821577,-0.016212935364217692,sent_but_lost,DEPRIORITIZE,low conditional win-rate (1.3%)
syncro-fra,RELAY,272,22116,0,0.01214936573164195,40.4776115,1.0,100000,0.0001,0.0163405719200172,0.0052163604030823945,0.011124211516934806,sent_but_lost,DEPRIORITIZE,low conditional win-rate (1.2%)
bloxroute-fra,RELAY,212,22151,25,0.00947994455126772,113.66261549999999,0.9997319992853314,1000000,0.001,0.007453594209130653,0.012803793716656787,-0.005350199507526134,sent_but_lost,DEPRIORITIZE,low conditional win-rate (0.9%)
bloxroute-quic-fra,QUIC_TPU,187,22201,0,0.008352688940503842,165.528125,0.865195640521708,1000000,0.001,0.0059485415322869635,0.012329579134558387,-0.006381037602271424,sent_but_lost,DEPRIORITIZE,low conditional win-rate (0.8%)
allenhark-quic-ams,QUIC_TPU,40,20466,1882,0.0019506485906563933,60.963183,1.0,1000000,0.001,0.0015767218519314842,0.0021339656194427977,-0.0005572437675113134,sent_but_lost,DEPRIORITIZE,low conditional win-rate (0.2%)
jito-multi,JITO,2,5320,17066,0.0003757985719654265,618.5632350000001,0.8926657137752367,1000000,0.001,0.00014333835017558947,0.0,0.00014333835017558947,SendError,IMPROVE,rate-limited (SendError) -> lift throttle / raise rate limit
allenhark-quic-ny,QUIC_TPU,0,22388,0,0.0,,0.0,1000000,,0.0,0.0,0.0,never_sent,FIX-BUG,dead PoP: never sent any attempt (send_at_ns==0)
allenhark-quic-tk,QUIC_TPU,0,22388,0,0.0,,0.0,1000000,,0.0,0.0,0.0,never_sent,FIX-BUG,dead PoP: never sent any attempt (send_at_ns==0)
