sender_name,protocol_class,n_landed,count_0,count_1,count_ge2,p_same_slot,p_one_behind,p_two_plus_behind,gate
0slot-de1,RELAY,6103,3416,2613,74,0.559724725544814,0.4281500901196133,0.01212518433557267,inferential
triton-fra,RELAY,3332,2429,878,25,0.7289915966386554,0.2635054021608643,0.007503001200480192,inferential
astralane-fra,RELAY,2550,1915,629,6,0.7509803921568627,0.24666666666666667,0.002352941176470588,inferential
astralane-quic-fra,QUIC_TPU,2103,1537,554,11,0.7308606752258678,0.263433190679981,0.005230622919638612,inferential
helius-dual,HTTP_JSONRPC,1845,1590,245,10,0.8617886178861789,0.13279132791327913,0.005420054200542005,inferential
nozomi-fra,RELAY,1068,762,305,1,0.7134831460674157,0.28558052434456926,0.0009363295880149813,inferential
nextblock-quic-fra,QUIC_TPU,1038,952,84,2,0.9171483622350675,0.08092485549132948,0.0019267822736030828,inferential
allenhark-quic-fra,QUIC_TPU,331,266,62,3,0.8036253776435045,0.18731117824773413,0.00906344410876133,inferential
blockrazor,RELAY,310,197,113,0,0.635483870967742,0.36451612903225805,0.0,inferential
helius-fra,HTTP_JSONRPC,294,225,67,2,0.7653061224489796,0.22789115646258504,0.006802721088435374,inferential
syncro-fra,RELAY,272,222,50,0,0.8161764705882353,0.18382352941176472,0.0,inferential
bloxroute-fra,RELAY,212,161,50,1,0.7594339622641509,0.2358490566037736,0.0047169811320754715,inferential
bloxroute-quic-fra,QUIC_TPU,187,128,59,0,0.6844919786096256,0.3155080213903743,0.0,inferential
allenhark-quic-ams,QUIC_TPU,40,26,13,1,0.65,0.325,0.025,inferential
jito-multi,JITO,2,1,0,1,0.5,0.0,0.5,long_tail
