sender_name,protocol_class,landed,operational_n,operational_rate,operational_lo,operational_hi,conditional_landed,conditional_n,conditional_rate,conditional_lo,conditional_hi,share_n,share_rate,share_lo,share_hi,corrected_landed,corrected_n,corrected_rate,corrected_lo,corrected_hi,never_sent,helius_500,boot_rank_median,boot_rank_lo,boot_rank_hi,gate
0slot-de1,RELAY,6103,22388,0.27260139360371627,0.2668077921452094,0.27847301833547294,6103,22388,0.27260139360371627,0.2668077921452094,0.27847301833547294,19687,0.3100015238482247,0.3035786414836548,0.3164985392886876,6103,22386,0.27262574823550434,0.266831722709573,0.2784977956470882,2,0,1,1,1,inferential
triton-fra,RELAY,3332,22388,0.1488297302126139,0.14422775827280998,0.15355219301360234,3332,22387,0.1488363782552374,0.14423421784740767,0.15355903262438067,19687,0.1692487428252146,0.16407548998376095,0.17455104727037826,3332,22384,0.14885632594710507,0.14425360004375232,0.15357955511259697,3,0,2,2,2,inferential
astralane-fra,RELAY,2550,22388,0.1139003037341433,0.10980492616428231,0.11812815688325623,2550,22385,0.113915568461023,0.1098196753461565,0.11814394966803096,19687,0.12952709910092955,0.12490880585760873,0.1342899424282032,2550,22384,0.11392065761258041,0.10982459262072208,0.11814921486797647,1,0,3,3,3,inferential
astralane-quic-fra,QUIC_TPU,2103,22388,0.09393425049133465,0.09018212032194703,0.09782570683968797,2103,22388,0.09393425049133465,0.09018212032194703,0.09782570683968797,19687,0.10682176055264896,0.10258343818793254,0.11121349210703242,2103,19107,0.11006437431307897,0.10570484378872158,0.11458066629161151,3281,0,4,4,4,inferential
helius-dual,HTTP_JSONRPC,1845,22388,0.08241021976058603,0.07887936064181746,0.08608435909573899,1845,22356,0.08252818035426732,0.07899247959267323,0.08620732585422618,19687,0.09371666582008432,0.08972457480683997,0.09786727933233415,1845,22350,0.0825503355704698,0.07901372552673876,0.08623042123995157,6,2230,5,5,5,inferential
nozomi-fra,RELAY,1068,22388,0.0477041272110059,0.04498895371329726,0.05057448901453423,1068,8584,0.1244175209692451,0.11760286046311984,0.13156818782432061,19687,0.05424899679991873,0.05117102698964629,0.05750088849429727,1068,6200,0.17225806451612904,0.16306255357159877,0.1818594553198829,2384,0,6,6,7,inferential
nextblock-quic-fra,QUIC_TPU,1038,22388,0.046364123637663034,0.04368671158013759,0.049197183772801044,1038,22388,0.046364123637663034,0.04368671158013759,0.049197183772801044,19687,0.05272514857520191,0.049689690855364024,0.055935122749999205,1038,19187,0.05409912961901287,0.05098663302502337,0.05739013947260652,3201,0,7,6,7,inferential
allenhark-quic-fra,QUIC_TPU,331,22388,0.01478470609254958,0.013284964244758585,0.016450931306538418,331,22388,0.01478470609254958,0.013284964244758585,0.016450931306538418,19687,0.016813125412708893,0.015109116306459417,0.01870566302702734,331,22375,0.014793296089385476,0.013292688442942019,0.01646048086414249,13,0,8,8,10,inferential
blockrazor,RELAY,310,22388,0.013846703591209576,0.012397281704130177,0.015462930684741825,310,13533,0.022906968151924924,0.020518486895767546,0.025566226493129757,19687,0.015746431655407123,0.014099495902859006,0.017582312115621522,310,12157,0.025499712100024677,0.02284387317057288,0.02845532852802336,1376,0,9,8,11,inferential
helius-fra,HTTP_JSONRPC,294,22388,0.01313203501876005,0.011722150262949626,0.014708970192646187,294,22356,0.013150831991411701,0.011738940463781678,0.014730006550474526,19687,0.014933712602224819,0.013331627753252018,0.016725059263318992,294,22354,0.013152008589066833,0.011739991448511629,0.014731323320884351,2,2231,10,8,11,inferential
syncro-fra,RELAY,272,22388,0.01214936573164195,0.010795707605448377,0.013670411441892676,272,22388,0.01214936573164195,0.010795707605448377,0.013670411441892676,19687,0.013816223904099152,0.012277933479805436,0.015544212159139998,272,22388,0.01214936573164195,0.010795707605448377,0.013670411441892676,0,0,11,9,11,inferential
bloxroute-fra,RELAY,212,22388,0.009469358584956226,0.00828220353358376,0.010824820763971581,212,22363,0.00947994455126772,0.008291467537716478,0.01083691317747693,19687,0.010768527454665515,0.009419220523563277,0.012308721358221494,212,22357,0.009482488705998122,0.008293693983328462,0.010839819377901662,6,0,12,12,13,inferential
bloxroute-quic-fra,QUIC_TPU,187,22388,0.008352688940503842,0.0072420024896803995,0.0096320656621309,187,22388,0.008352688940503842,0.0072420024896803995,0.0096320656621309,19687,0.009498653934068168,0.00823617204245911,0.010952518273842053,187,19370,0.009654104284976768,0.008371042268491122,0.011131618555063163,3018,0,13,12,13,inferential
allenhark-quic-ams,QUIC_TPU,40,22388,0.0017866714311238164,0.0013124356926704373,0.0024318503221658692,40,20506,0.0019506485906563933,0.0014329148896150019,0.002654949903929578,19687,0.002031797632955758,0.0014925392996503611,0.0027653518116071817,40,20506,0.0019506485906563933,0.0014329148896150019,0.002654949903929578,0,0,14,14,14,inferential
jito-multi,JITO,2,22388,8.933357155619081e-05,2.4498829355639742e-05,0.0003256938439497165,2,5322,0.0003757985719654265,0.0001030635731958928,0.0013692781931379603,19687,0.00010158988164778788,2.7860051895531432e-05,0.00037036867982692494,2,2919,0.0006851661527920521,0.00018791738573528801,0.0024949030584012865,2403,0,15,15,16,inferential
allenhark-quic-ny,QUIC_TPU,0,22388,0.0,1.3552527156068805e-20,0.00017155618164583255,0,22388,0.0,1.3552527156068805e-20,0.00017155618164583255,19687,0.0,0.0,0.0001950886064837676,0,0,,0.0,0.0,22388,0,17,17,17,inferential
allenhark-quic-tk,QUIC_TPU,0,22388,0.0,1.3552527156068805e-20,0.00017155618164583255,0,22388,0.0,1.3552527156068805e-20,0.00017155618164583255,19687,0.0,0.0,0.0001950886064837676,0,0,,0.0,0.0,22388,0,16,15,16,inferential
