country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,26830.0,0.049,0.134,0.162,0.273,0.292,0.338,0.184,0.023,1.695
NL,17580.0,0.042,0.124,0.16,0.267,0.289,0.336,0.178,0.025,0.657
US,13038.0,0.04,0.1,0.158,0.27,0.293,0.343,0.173,0.023,1.856
JP,5312.0,0.043,0.114,0.157,0.248,0.283,0.352,0.166,0.027,0.873
CA,4865.0,0.055,0.134,0.158,0.252,0.274,0.31,0.172,0.019,0.611
LT,4548.0,0.056,0.134,0.158,0.26,0.278,0.319,0.176,0.028,0.508
GB,3909.0,0.042,0.135,0.222,0.299,0.321,0.363,0.212,0.02,0.678
SG,3646.0,0.041,0.095,0.153,0.229,0.258,0.3,0.156,0.023,0.482
IE,2266.0,0.042,0.114,0.157,0.262,0.296,0.345,0.171,0.027,0.473
LU,1507.0,0.046,0.111,0.154,0.239,0.261,0.294,0.161,0.025,0.362
FR,1493.0,0.042,0.124,0.157,0.258,0.275,0.305,0.174,0.02,0.411
SE,1289.0,0.052,0.134,0.162,0.272,0.288,0.323,0.185,0.035,0.425
BR,827.0,0.06,0.136,0.158,0.234,0.257,0.287,0.167,0.04,0.345
HK,715.0,0.04,0.111,0.158,0.256,0.278,0.307,0.166,0.031,0.407
CH,410.0,0.039,0.095,0.151,0.24,0.261,0.28,0.16,0.025,0.358
EN,320.0,0.048,0.133,0.157,0.246,0.268,0.305,0.169,0.033,0.317
??,222.0,0.038,0.101,0.147,0.228,0.252,0.28,0.154,0.032,0.473
SK,192.0,0.044,0.12,0.159,0.261,0.297,0.325,0.177,0.035,0.34
PL,188.0,0.05,0.122,0.155,0.242,0.273,0.302,0.164,0.034,0.31
CZ,171.0,0.043,0.103,0.236,0.291,0.31,0.335,0.207,0.039,0.348
ES,160.0,0.075,0.136,0.155,0.231,0.248,0.264,0.165,0.038,0.353
MX,152.0,0.127,0.152,0.268,0.327,0.341,0.365,0.258,0.08,0.39
AE,140.0,0.113,0.203,0.27,0.315,0.332,0.354,0.265,0.087,0.439
SC,121.0,0.044,0.113,0.162,0.27,0.296,0.31,0.186,0.034,0.324
NO,63.0,0.034,0.069,0.15,0.254,0.287,0.305,0.159,0.032,0.311
BG,62.0,0.046,0.084,0.156,0.246,0.279,0.343,0.161,0.045,0.356
AT,58.0,0.065,0.113,0.153,0.254,0.261,0.275,0.167,0.042,0.284
RU,54.0,0.065,0.114,0.157,0.236,0.255,0.273,0.167,0.048,0.277
LV,34.0,0.062,0.144,0.165,0.22,0.268,0.28,0.171,0.051,0.282
AR,31.0,0.083,0.132,0.155,0.215,0.226,0.245,0.157,0.076,0.249
EE,23.0,0.224,0.247,0.279,0.363,0.432,0.473,0.294,0.224,0.483
CL,12.0,0.119,0.135,0.146,0.195,0.223,0.246,0.158,0.117,0.252
FI,12.0,0.131,0.138,0.17,0.268,0.271,0.272,0.183,0.13,0.273
RO,10.0,0.073,0.092,0.158,0.218,0.231,0.243,0.161,0.071,0.245
