country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,26830.0,0.914,1.018,1.226,1.491,1.583,2.104,1.251,0.813,4.998
NL,17580.0,0.91,1.012,1.228,1.496,1.586,2.082,1.252,0.796,4.64
US,13038.0,0.913,1.017,1.221,1.487,1.576,2.161,1.248,0.815,4.935
JP,5312.0,0.901,1.02,1.225,1.485,1.589,2.203,1.253,0.825,7.536
CA,4865.0,0.915,1.022,1.233,1.492,1.592,2.29,1.259,0.803,4.508
LT,4548.0,0.923,1.02,1.214,1.463,1.57,2.152,1.242,0.846,4.799
GB,3909.0,0.915,1.024,1.235,1.491,1.61,2.323,1.264,0.844,4.217
SG,3646.0,0.909,1.012,1.213,1.479,1.579,2.139,1.241,0.826,4.563
IE,2266.0,0.921,1.01,1.224,1.492,1.579,2.248,1.254,0.881,4.023
LU,1507.0,0.927,1.036,1.25,1.493,1.57,1.846,1.266,0.815,4.577
FR,1493.0,0.936,1.053,1.242,1.47,1.566,2.453,1.273,0.865,4.51
SE,1289.0,0.896,1.018,1.227,1.469,1.572,2.079,1.254,0.84,4.753
BR,827.0,0.909,1.021,1.232,1.467,1.592,2.242,1.254,0.862,3.782
HK,715.0,0.926,1.02,1.234,1.536,1.595,1.715,1.262,0.873,3.396
CH,410.0,0.937,1.037,1.252,1.56,1.653,2.016,1.304,0.838,4.403
EN,320.0,0.927,1.002,1.218,1.454,1.506,2.32,1.243,0.878,3.927
??,222.0,0.93,1.035,1.232,1.51,1.63,2.219,1.267,0.919,2.679
SK,192.0,0.855,0.959,1.248,1.504,1.596,2.032,1.257,0.797,2.677
PL,188.0,0.882,1.005,1.233,1.389,1.477,2.295,1.248,0.855,4.289
CZ,171.0,0.931,1.028,1.197,1.463,1.525,1.918,1.231,0.833,2.159
ES,160.0,0.936,0.995,1.25,1.497,1.515,1.745,1.253,0.895,2.089
MX,152.0,0.963,1.01,1.117,1.441,1.492,1.689,1.177,0.878,2.151
AE,140.0,0.956,1.019,1.24,1.461,1.524,3.095,1.274,0.935,3.304
SC,121.0,0.929,1.018,1.186,1.52,1.563,1.715,1.231,0.914,1.799
NO,63.0,0.978,1.144,1.35,1.496,1.516,1.574,1.324,0.904,1.609
BG,62.0,0.953,1.025,1.339,1.607,1.688,3.192,1.369,0.893,3.49
AT,58.0,0.99,1.076,1.225,1.382,1.428,1.756,1.232,0.988,2.105
RU,54.0,0.929,1.036,1.233,1.58,1.788,2.858,1.3,0.924,3.362
LV,34.0,1.027,1.089,1.42,1.521,1.543,1.675,1.343,1.018,1.728
AR,31.0,0.919,1.011,1.227,1.387,1.65,2.056,1.237,0.91,2.117
EE,23.0,0.913,1.114,1.252,1.307,1.323,1.597,1.235,0.878,1.674
CL,12.0,1.259,1.265,1.39,1.431,1.446,1.46,1.364,1.258,1.463
FI,12.0,1.008,1.019,1.13,1.179,1.18,1.181,1.11,1.007,1.182
RO,10.0,0.894,0.914,0.99,1.051,1.061,1.069,0.986,0.892,1.071
