country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,26830.0,9.805,17.746,75.58,331.184,564.933,1767.714,179.303,5.076,6253.158
NL,17580.0,15.066,23.551,79.258,359.767,567.695,1900.794,191.527,11.423,7274.018
US,13038.0,92.569,110.987,172.132,683.361,1253.652,1955.067,332.661,80.651,5469.766
JP,5312.0,159.62,167.133,201.267,454.359,731.273,1923.494,305.831,142.069,3609.398
CA,4865.0,95.598,103.557,117.21,457.161,552.972,2731.223,237.896,91.337,6743.965
LT,4548.0,39.546,43.832,56.336,202.025,356.123,1516.744,120.477,37.22,3825.981
GB,3909.0,24.082,41.259,260.597,1420.702,1639.604,2185.093,491.405,18.883,5246.014
SG,3646.0,161.595,169.717,202.269,353.105,637.341,1721.712,273.334,156.797,3414.97
IE,2266.0,34.753,48.916,99.733,448.12,753.049,2050.136,239.532,28.679,4363.316
LU,1507.0,198.373,203.438,218.909,408.392,461.173,1546.534,295.613,195.142,4228.343
FR,1493.0,14.328,24.537,48.269,239.108,512.208,2325.991,157.486,10.744,4919.46
SE,1289.0,33.228,37.61,51.743,214.635,382.576,1647.307,126.611,30.865,3477.758
BR,827.0,182.26,187.08,210.356,412.134,447.368,1306.31,286.386,179.543,3314.514
HK,715.0,194.866,202.199,300.028,502.66,618.209,1385.348,366.89,192.753,2993.83
CH,410.0,24.454,33.528,66.485,188.604,311.883,488.049,102.753,21.944,1414.824
EN,320.0,22.158,30.112,69.929,124.258,158.621,310.579,77.406,18.846,475.055
??,222.0,22.099,38.487,72.429,215.321,389.198,826.608,116.694,18.896,1092.79
SK,192.0,25.421,35.251,78.84,448.118,757.747,1579.325,177.901,24.65,1714.304
PL,188.0,33.267,35.734,51.707,217.531,340.586,1711.048,123.914,31.472,2504.75
CZ,171.0,30.998,41.654,73.118,564.411,1524.767,2532.637,276.087,30.207,2746.016
ES,160.0,51.341,56.531,126.315,161.312,167.639,283.466,112.617,50.508,354.834
MX,152.0,143.6,154.221,175.824,361.407,452.485,674.453,220.557,139.421,1491.847
AE,140.0,150.968,157.421,180.634,449.09,684.797,1688.457,276.789,150.192,1869.784
SC,121.0,22.953,34.241,70.59,750.454,1135.052,1530.61,216.46,22.34,1692.312
NO,63.0,35.971,40.681,86.531,322.947,421.533,537.973,133.219,34.894,672.748
BG,62.0,43.198,54.041,96.518,740.969,1890.011,2590.146,303.172,40.721,2620.303
AT,58.0,31.235,42.529,91.177,382.713,929.038,1382.956,190.39,29.654,1849.514
RU,54.0,96.174,104.489,216.544,548.101,668.407,758.008,276.061,93.792,802.601
LV,34.0,49.723,83.125,244.798,1064.266,1541.474,1606.382,440.368,45.507,1635.599
AR,31.0,231.925,235.484,241.447,255.703,345.525,630.285,264.353,231.523,716.356
EE,23.0,63.737,71.393,79.159,89.672,90.799,95.965,79.723,62.253,97.412
CL,12.0,222.096,222.304,230.1,240.794,289.982,337.836,239.529,222.072,349.8
FI,12.0,32.785,34.205,49.669,60.698,63.692,66.285,50.331,32.772,66.933
RO,10.0,41.206,49.027,88.642,156.814,195.978,227.309,101.734,40.338,235.142
