country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,26830.0,81506.29,188502.0,875501.0,3277265.2,5196289.45,16285572.1,1767642.928,14029.0,64308004.0
NL,17580.0,144398.0,253006.0,1062509.0,3563013.7,5539820.6,17801433.58,1984127.742,360.0,76319013.0
US,13038.0,809004.11,1275013.1,1940506.5,7009148.6,12182567.1,17873480.8,3350307.665,64483.0,45751503.0
JP,5312.0,708781.89,1817508.2,2252506.0,4350775.7,6890012.3,17505208.01,3049824.26,151011.0,32934018.0
CA,4865.0,518357.44,1015212.2,1189003.0,4447503.4,5003625.8,24366219.44,2233196.423,11511.0,65453541.0
LT,4548.0,315003.41,474365.6,625501.0,1752605.5,3103329.75,15364317.6,1222588.651,20503.0,34598523.0
GB,3909.0,225407.0,494659.6,2608502.0,13244461.8,15367514.2,19975352.88,4795242.748,589.0,48807798.0
SG,3646.0,827154.05,1863785.0,2313753.5,3191761.5,5570262.75,17335272.5,2882253.119,217522.0,32321001.0
IE,2266.0,377655.3,584258.5,1181262.5,3732270.5,6610303.0,16281654.05,2196811.487,246122.0,32629509.0
LU,1507.0,1662093.66,1877304.6,2073009.0,3819717.4,4219424.3,15547422.4,2815365.016,690006.0,40632516.0
FR,1493.0,126002.0,253107.0,566511.0,2379909.8,4891507.0,23714205.48,1599204.778,63001.0,41131515.0
SE,1289.0,252827.4,410504.0,564003.0,2338329.6,3444256.8,14632500.04,1244547.344,64504.0,30792017.0
BR,827.0,534211.74,1938301.6,2251503.0,3646210.0,3795161.7,11002507.46,2644425.926,284023.0,31548516.0
HK,715.0,616604.28,2070603.8,2787469.0,4770488.0,5667157.6,13241162.24,3479883.723,332528.0,27440005.0
CH,410.0,314549.18,462406.3,816759.0,2097707.4,2873284.0,4812651.0,1144587.032,279010.0,12831503.0
EN,320.0,240753.86,300813.1,785256.0,1254506.6,1480939.85,2829497.99,806724.688,126503.0,4303512.0
??,222.0,316945.0,487566.0,787259.0,2039862.4,3635557.85,9384660.52,1267724.45,246547.0,12168540.0
SK,192.0,303524.1,462160.7,962022.5,5341582.9,8172821.2,14394042.19,1941199.125,291009.0,15838971.0
PL,188.0,311032.65,380855.6,577253.0,2162005.7,3523745.2,16481528.74,1257884.261,289507.0,24390533.0
CZ,171.0,263400.9,451391.0,789306.0,4689504.0,9974915.5,16900556.1,2017325.877,228077.0,17906794.0
ES,160.0,272964.92,567459.9,926755.5,1770454.6,1821298.2,1889915.82,1132056.631,193512.0,2127505.0
MX,152.0,1112318.09,1626914.0,1960659.0,2593551.3,3565138.9,6092827.23,2144172.77,596558.0,8009775.0
AE,140.0,40534.65,1674448.9,2054857.0,3103552.4,5377367.1,15067684.15,2621389.464,0.0,16427227.0
SC,121.0,320613.0,412683.0,891010.0,6738404.0,11441010.0,16212983.4,2264074.793,296003.0,17112742.0
NO,63.0,361339.72,443204.8,1074507.0,2625250.8,3693769.6,5273917.72,1394343.0,348006.0,6393014.0
BG,62.0,548281.88,671810.1,1148011.0,6949517.1,18186741.45,24989834.39,3087194.887,501002.0,25104515.0
AT,58.0,311403.75,519275.4,1012257.5,4064406.3,9052485.35,14034676.29,2058142.0,294033.0,18634008.0
RU,54.0,223335.41,1122159.0,1664518.0,6121309.3,7217556.35,8502169.88,2773183.593,191007.0,8994012.0
LV,34.0,495642.0,977554.6,2682003.0,10108066.0,14901282.5,15577525.38,4290977.794,493002.0,15892515.0
AR,31.0,1997856.5,2522504.0,2664010.0,2793010.0,2917755.0,3842009.0,2679054.806,1782008.0,4220009.0
EE,23.0,504069.96,764386.0,916897.0,1072386.2,1102568.2,1294532.04,921164.565,493462.0,1347798.0
CL,12.0,983831.45,2376356.7,2541511.5,2626206.3,2652831.45,2674171.89,2394592.417,812012.0,2679507.0
FI,12.0,413314.79,440604.6,539509.0,629152.6,650327.0,667267.0,534713.417,410016.0,671502.0
RO,10.0,611914.18,737060.8,1049257.0,1749558.4,2253789.7,2657174.74,1283311.2,598009.0,2758021.0
