country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,26830.0,1.0,3.0,13.0,52.0,82.0,258.0,27.361,0.0,1014.0
NL,17580.0,2.0,4.0,16.0,55.0,87.0,279.21,30.381,0.0,1221.0
US,13038.0,9.0,20.0,30.0,111.0,193.15,285.63,52.739,0.0,732.0
JP,5312.0,4.0,24.0,35.0,69.0,108.45,278.89,46.477,0.0,526.0
CA,4865.0,6.0,16.0,19.0,71.0,79.0,389.44,35.171,0.0,1047.0
LT,4548.0,2.0,7.0,9.0,26.3,49.0,240.0,18.709,0.0,537.0
GB,3909.0,2.0,7.0,40.0,211.0,244.0,318.68,74.952,0.0,780.0
SG,3646.0,10.0,29.0,36.0,50.0,83.5,268.55,44.683,0.0,517.0
IE,2266.0,5.0,9.0,17.0,59.0,104.0,260.05,33.163,0.0,522.0
LU,1507.0,26.0,30.0,33.0,61.0,67.0,247.94,44.705,11.0,650.0
FR,1493.0,1.0,4.0,9.0,37.0,77.4,379.12,24.872,0.0,658.0
SE,1289.0,2.0,6.0,9.0,35.0,54.0,232.44,18.952,0.0,492.0
BR,827.0,5.0,29.0,35.0,58.0,60.0,175.92,41.029,1.0,499.0
HK,715.0,9.28,33.0,44.0,76.0,90.0,211.68,55.091,3.0,439.0
CH,410.0,4.0,7.0,13.0,33.1,45.55,76.37,17.763,1.0,205.0
EN,320.0,2.19,4.0,12.0,19.1,23.05,45.1,12.394,1.0,68.0
??,222.0,3.21,7.0,12.0,29.9,51.0,149.38,19.086,3.0,194.0
SK,192.0,4.0,7.0,15.0,85.2,127.7,227.52,30.453,4.0,253.0
PL,188.0,4.0,6.0,9.0,34.0,55.9,263.45,19.718,2.0,390.0
CZ,171.0,2.0,6.0,11.0,62.0,140.5,242.9,28.702,0.0,259.0
ES,160.0,3.59,9.0,13.5,28.0,29.0,30.0,17.362,3.0,34.0
MX,152.0,10.51,25.0,31.0,40.9,56.75,97.29,33.526,9.0,128.0
AE,140.0,0.0,11.9,32.0,47.1,85.2,240.23,38.907,0.0,262.0
SC,121.0,5.0,6.0,14.0,107.0,183.0,258.6,35.752,4.0,273.0
NO,63.0,5.0,7.0,17.0,41.4,58.7,84.02,21.857,5.0,102.0
BG,62.0,6.83,10.0,18.0,110.5,290.3,399.17,48.742,5.0,401.0
AT,58.0,3.57,6.7,16.0,64.9,144.1,224.47,32.241,3.0,298.0
RU,54.0,3.53,15.6,25.0,91.9,104.45,118.41,41.019,3.0,120.0
LV,34.0,7.33,13.9,42.0,161.2,238.35,249.05,67.971,7.0,254.0
AR,31.0,31.6,40.0,42.0,44.0,46.5,61.0,42.548,28.0,67.0
EE,23.0,7.22,12.0,14.0,17.0,17.0,20.12,14.174,7.0,21.0
CL,12.0,14.75,37.1,40.0,41.9,42.0,42.0,37.75,12.0,42.0
FI,12.0,6.11,7.0,8.0,9.9,10.0,10.0,8.25,6.0,10.0
RO,10.0,0.81,8.1,15.5,25.1,25.55,25.91,15.8,0.0,26.0
