country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,26830.0,80018.088,186845.161,873861.34,3275305.59,5193993.454,16285053.384,1765800.002,13408.3,64304244.47
NL,17580.0,142947.33,251219.581,1060013.09,3561403.03,5537965.505,17799554.158,1982345.967,-2062.22,76317350.79
US,13038.0,806193.456,1273694.083,1938897.24,7008075.407,12178872.115,17871730.324,3348574.261,63561.09,45749597.49
JP,5312.0,705868.525,1815765.68,2251375.74,4348905.35,6888288.26,17502514.193,3048161.515,149957.29,32931227.58
CA,4865.0,517187.684,1013822.65,1187220.98,4445684.746,5001789.95,24365118.344,2231476.094,10849.39,65452011.19
LT,4548.0,313679.304,472658.673,622632.135,1750914.35,3101758.645,15362553.361,1220824.241,19252.49,34597048.99
GB,3909.0,223948.602,491809.434,2606731.49,13241773.502,15364973.12,19974248.843,4793121.12,-1844.91,48806418.89
SG,3646.0,824968.945,1861600.035,2312271.24,3190164.49,5567693.163,17334235.196,2880690.357,216405.19,32319287.79
IE,2266.0,376184.835,581822.935,1179700.49,3730848.94,6608608.045,16280116.15,2195099.049,243230.68,32627448.69
LU,1507.0,1660570.655,1875291.306,2071438.19,3818231.35,4217823.373,15546750.483,2813752.452,687995.38,40630693.09
FR,1493.0,124476.682,251535.448,565106.09,2377617.47,4889999.586,23713596.831,1597461.718,61482.99,41129674.59
SE,1289.0,251176.998,408764.71,562374.59,2336752.528,3441805.944,14630278.607,1242693.059,63208.39,30789160.48
BR,827.0,532719.618,1935558.94,2249723.28,3644752.63,3792827.943,11001098.42,2642751.321,282259.29,31547045.19
HK,715.0,615263.802,2068758.59,2784440.08,4768826.67,5665700.02,13238577.443,3478222.266,331348.69,27438380.69
CH,410.0,312946.394,460030.549,815661.745,2096251.98,2871241.235,4812015.84,1142982.696,277460.39,12829809.09
EN,320.0,239274.808,299158.48,783564.235,1252654.381,1478356.041,2827725.267,805031.15,125406.1,4301903.19
??,222.0,315337.54,485114.261,785752.54,2037855.411,3634054.39,9383380.423,1266187.101,246222.99,12167071.39
SK,192.0,302179.151,460589.06,960571.94,5339943.369,8169928.339,14391460.677,1939433.8,288621.38,15836918.29
PL,188.0,309250.124,379312.21,575753.635,2159778.993,3521936.619,16479904.588,1256242.312,288216.19,24388794.19
CZ,171.0,261404.957,448301.08,786769.49,4688576.19,9974238.45,16899750.813,2015251.728,225362.98,17905874.3
ES,160.0,271126.952,565364.71,925047.69,1768004.631,1819718.85,1888291.595,1130401.884,193127.0,2125966.49
MX,152.0,1110349.487,1624421.291,1958500.035,2590946.331,3562985.75,6089471.603,2141590.563,594914.89,8007013.58
AE,140.0,37915.85,1672937.43,2052249.18,3101064.989,5374426.055,15064824.363,2618740.243,-2961.42,16426104.39
SC,121.0,318754.81,410063.68,889436.49,6735162.88,11438320.58,16210556.99,2262213.025,294491.09,17111220.29
NO,63.0,359571.99,442035.13,1072581.08,2623038.03,3692012.55,5272515.672,1392754.177,346440.39,6391556.09
BG,62.0,546976.301,669895.579,1146882.245,6947871.83,18185182.29,24988143.461,3085585.969,499853.49,25102841.09
AT,58.0,309451.615,517078.103,1011041.945,4063062.15,9050847.92,14033573.091,2056475.115,292403.89,18632709.69
RU,54.0,222041.555,1120184.447,1662936.485,6119259.72,7216340.03,8500732.229,2771514.474,189409.19,8992568.89
LV,34.0,494100.482,975919.99,2679811.185,10106298.18,14899348.75,15576645.488,4289266.621,491476.19,15892003.19
AR,31.0,1996453.8,2521258.0,2662439.69,2791574.29,2916217.885,3840469.617,2677487.996,1780608.99,4218486.99
EE,23.0,501262.788,760860.712,912621.08,1069373.74,1100006.99,1291892.386,918222.735,491224.28,1345120.88
CL,12.0,982349.955,2374427.451,2540024.79,2624781.16,2650911.356,2671770.255,2393013.88,810592.59,2676984.98
FI,12.0,411692.019,439164.369,537267.035,627403.941,648139.61,664665.746,532881.953,408366.29,668797.28
RO,10.0,609508.098,735075.359,1047739.69,1747887.419,2251881.699,2655077.124,1281700.119,595556.18,2755875.98
