country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,26830.0,0.974,2.957,12.976,51.953,81.968,257.97,27.332,-0.052,1013.948
NL,17580.0,1.958,3.961,15.963,54.973,86.96,279.168,30.352,-0.061,1220.973
US,13038.0,8.964,19.958,29.991,110.956,193.122,285.606,52.712,-0.04,731.97
JP,5312.0,3.974,23.973,34.973,68.971,108.409,278.88,46.45,-0.034,525.955
CA,4865.0,5.979,15.973,18.963,70.974,78.99,389.422,35.143,-0.039,1046.976
LT,4548.0,1.973,6.974,8.978,26.278,48.976,239.975,18.681,-0.043,536.96
GB,3909.0,1.961,6.962,39.974,210.953,243.962,318.662,74.918,-0.052,779.978
SG,3646.0,9.978,28.975,35.979,49.976,83.477,268.529,44.658,-0.023,516.973
IE,2266.0,4.955,8.958,16.986,58.973,103.983,260.025,33.135,-0.034,521.967
LU,1507.0,25.976,29.962,32.975,60.975,66.98,247.929,44.679,10.968,649.971
FR,1493.0,0.978,3.96,8.955,36.977,77.374,379.11,24.844,-0.043,657.971
SE,1289.0,1.98,5.974,8.956,34.952,53.954,232.402,18.922,-0.028,491.954
BR,827.0,4.978,28.969,34.98,57.974,59.974,175.897,41.002,0.987,498.976
HK,715.0,9.259,32.973,43.951,75.969,89.977,211.639,55.064,2.973,438.974
CH,410.0,3.975,6.974,12.961,33.077,45.517,76.36,17.738,0.972,204.973
EN,320.0,2.171,3.98,11.977,19.076,23.028,45.072,12.367,0.976,67.974
??,222.0,3.202,6.977,11.977,29.862,50.985,149.36,19.061,2.975,193.977
SK,192.0,3.978,6.977,14.976,85.174,127.667,227.478,30.425,3.962,252.974
PL,188.0,3.979,5.972,8.974,33.964,55.871,263.424,19.692,1.966,389.972
CZ,171.0,1.956,5.955,10.961,61.977,140.483,242.887,28.669,-0.054,258.985
ES,160.0,3.574,8.967,13.475,27.96,28.973,29.975,17.336,2.971,33.975
MX,152.0,10.477,24.977,30.945,40.858,56.716,97.236,33.485,8.974,127.956
AE,140.0,-0.046,11.847,31.948,47.056,85.153,240.184,38.865,-0.047,261.982
SC,121.0,4.953,5.974,13.975,106.948,182.957,258.561,35.722,3.976,272.976
NO,63.0,4.973,6.972,16.963,41.368,58.672,83.998,21.832,4.97,101.977
BG,62.0,6.814,9.974,17.986,110.474,290.275,399.143,48.716,4.988,400.973
AT,58.0,3.539,6.675,15.981,64.878,144.074,224.452,32.215,2.962,297.979
RU,54.0,3.509,15.578,24.98,91.876,104.426,118.387,40.992,2.974,119.977
LV,34.0,7.305,13.874,41.973,161.172,238.319,249.036,67.943,6.976,253.992
AR,31.0,31.576,39.974,41.975,43.98,46.475,60.975,42.523,27.978,66.976
EE,23.0,7.175,11.944,13.955,16.954,16.959,20.078,14.127,6.964,20.957
CL,12.0,14.726,37.069,39.977,41.861,41.968,41.975,37.725,11.977,41.977
FI,12.0,6.083,6.972,7.979,9.859,9.963,9.97,8.221,5.974,9.972
RO,10.0,0.775,8.061,15.476,25.087,25.531,25.885,15.774,-0.034,25.974
