country,n,p1,p10,p50,p90,p95,p99,avg,min,max
DE,91.0,-51.045,-31.362,-3.709,34.567,55.018,160.377,0.804,-53.77,161.6
US,66.0,-60.965,-41.627,-9.328,91.241,109.793,667.676,28.332,-64.364,679.586
NL,65.0,-51.556,-35.152,-4.511,18.395,25.065,82.744,-4.187,-60.062,145.818
JP,38.0,-61.963,-49.226,-16.404,26.488,154.026,600.502,14.656,-65.776,789.252
SE,24.0,-43.914,-13.568,0.345,18.877,24.092,41.7,0.884,-47.54,46.742
CA,23.0,-22.118,-14.13,-1.435,25.137,31.719,49.849,2.896,-23.965,54.795
IE,15.0,-51.136,-29.585,-5.294,29.964,39.259,53.268,-1.163,-53.559,56.77
LT,12.0,-36.659,-21.496,4.095,39.973,50.531,58.461,5.453,-38.414,60.444
SG,11.0,-54.09,-47.326,-30.741,-11.092,67.448,130.28,-15.526,-54.842,145.988
CZ,9.0,-20.256,-16.722,6.062,16.407,17.016,17.504,2.316,-20.648,17.626
