identity,name,country,continent,dc,stake_sol,scheduled,landed_here,slipped_away,pending_unknown,missed_prune,inclusion_rate,slip_rate,missed_rate,pending_rate,observed_here,received_slipped,p50_ms,p90_ms,p99_ms,min_ms,max_ms,p50_tick_delta,p99_tick_delta
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,CA,North America,16276-CA-Beauharnois,15075626,3648,3180,263,2,203,0.8717,0.0721,0.0556,0.0005,3660,480,116.09,239.95,2843.32,98.92,6743.96,18.0,401.27999999999884
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,DE,Europe,20326-DE-Frankfurt am Main,14354089,3300,2850,62,2,386,0.8636,0.0188,0.117,0.0006,3225,375,21.77,75.86,1522.06,5.2,3890.13,3.0,243.51999999999953
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,US,North America,14618-US-Ashburn,13398682,3240,2840,297,27,76,0.8765,0.0917,0.0235,0.0083,3225,385,138.03,330.26,1556.01,91.25,2540.92,25.0,241.75999999999976
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,DE,Europe,20326-DE-Frankfurt am Main,12275283,2856,1920,678,14,244,0.6723,0.2374,0.0854,0.0049,2167,247,256.9,376.31,1247.29,222.16,2501.34,41.0,186.6800000000003
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,DE,Europe,396356-DE-Frankfurt am Main,8940798,2148,1838,30,0,280,0.8557,0.014,0.1304,0.0,2129,291,25.54,164.76,1434.25,5.86,3235.27,4.0,234.7199999999998
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,Bitwise Onchain Solutions,DE,Europe,20326-DE-Frankfurt am Main,7703920,2088,1978,44,0,66,0.9473,0.0211,0.0316,0.0,2311,333,26.58,173.49,2286.29,12.14,3938.31,4.0,326.1000000000008
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,DE,Europe,213896-DE-Frankfurt am Main,7375104,1896,1646,215,7,28,0.8681,0.1134,0.0148,0.0037,1846,200,140.96,430.01,2392.02,20.6,3609.85,25.0,348.0
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,US,North America,400963-US-Secaucus,7067786,1560,1339,159,30,32,0.8583,0.1019,0.0205,0.0192,1477,138,934.8,1744.21,2818.85,92.34,4514.32,141.0,419.1600000000001
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,Staking Facilities | MEV 🔥,DE,Europe,9002-DE-Frankfurt am Main,6606944,1440,1224,187,2,27,0.85,0.1299,0.0188,0.0014,1381,157,40.61,228.63,1859.57,18.72,3137.34,7.0,248.20000000000005
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,US,North America,1072-US-America/Chicago,6601969,1494,858,531,9,96,0.5743,0.3554,0.0643,0.006,991,133,341.37,474.93,1100.21,244.92,1972.11,54.0,168.3000000000003
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,Kiln1,LU,Europe,7979-LU-Europe/Luxembourg,6457974,1524,1180,320,2,22,0.7743,0.21,0.0144,0.0013,1336,156,215.57,401.67,1268.32,195.14,1697.87,32.0,211.0
9eGrDohdNTAo61DRHyfMuqKWXqYnA3i254Wiszxe8FoY,Galaxy,GB,Europe,400963-GB-Europe/London,6449388,1524,1304,142,32,46,0.8556,0.0932,0.0302,0.021,1445,141,901.85,1670.42,3159.91,30.92,5246.01,139.0,488.63999999999896
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,,NL,Europe,20326-NL-Amsterdam,5522616,1560,1213,54,10,283,0.7776,0.0346,0.1814,0.0064,1365,152,47.05,195.66,1703.32,23.41,3676.36,20.0,269.8799999999992
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,Upbit Staking,US,North America,16509-US-Boardman,5380481,1116,776,110,0,230,0.6953,0.0986,0.2061,0.0,871,95,172.24,235.44,983.68,154.97,5469.77,29.0,124.79999999999927
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,,DE,Europe,16509-DE-Frankfurt am Main,4641993,1128,995,82,0,51,0.8821,0.0727,0.0452,0.0,1163,168,96.07,201.85,1477.22,81.0,3397.78,17.0,242.51999999999953
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,,NL,Europe,262287-NL-Amsterdam,4025448,960,403,136,1,420,0.4198,0.1417,0.4375,0.001,522,119,269.26,472.96,1537.71,233.25,3315.12,41.0,237.15999999999985
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,,DE,Europe,20326-DE-Frankfurt am Main,3966804,816,305,137,6,368,0.3738,0.1679,0.451,0.0074,382,77,261.74,361.93,1414.32,30.79,1845.29,40.0,203.60999999999996
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,,IE,Europe,20326-IE-Dublin,3944611,936,365,169,5,397,0.39,0.1806,0.4241,0.0053,447,82,282.78,431.65,1660.11,245.55,2075.19,43.0,248.62000000000006
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,,US,North America,20326-US-Newark,3886361,732,285,392,0,55,0.3893,0.5355,0.0751,0.0,347,62,486.77,786.35,3254.85,312.28,3475.69,79.0,482.7000000000001
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,,DE,Europe,20326-DE-Frankfurt am Main,3884611,888,374,148,0,366,0.4212,0.1667,0.4122,0.0,454,80,265.1,420.64,5918.8,226.62,6253.16,40.0,921.1599999999992
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,,NL,Europe,20326-NL-Amsterdam,3792772,816,365,124,0,327,0.4473,0.152,0.4007,0.0,452,87,265.2,385.01,1592.82,232.64,3808.31,41.0,250.9000000000001
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,NL,Europe,20326-NL-Amsterdam,3789571,888,370,106,0,412,0.4167,0.1194,0.464,0.0,423,53,266.56,389.31,1296.3,232.35,1920.93,41.0,200.13999999999965
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,,GB,Europe,20326-GB-City of London,3758984,768,328,110,0,330,0.4271,0.1432,0.4297,0.0,391,63,270.5,355.26,1153.26,235.86,1472.77,41.0,170.3000000000003
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,P2P.org,NL,Europe,7979-NL-Europe/Amsterdam,3648535,852,727,116,0,9,0.8533,0.1362,0.0106,0.0,811,84,233.34,261.65,1018.73,216.83,2316.41,33.0,155.49999999999943
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,blueshift,DE,Europe,395201-DE-Rüsselsheim am Main,3603886,720,480,177,0,63,0.6667,0.2458,0.0875,0.0,562,82,257.68,359.28,1295.21,73.6,1729.12,41.0,196.0
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,,JP,Asia,20326-JP-Tokyo,3598006,864,623,90,0,151,0.7211,0.1042,0.1748,0.0,712,89,201.59,295.09,1191.47,156.3,2067.44,36.0,187.89999999999986
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,,DE,Europe,396356-DE-Frankfurt am Main,3539561,828,386,175,2,265,0.4662,0.2114,0.32,0.0024,491,105,267.28,414.18,1667.37,232.35,4233.94,41.0,262.8000000000002
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,Twinstake,NL,Europe,214434-NL-Europe/Amsterdam,3173448,672,422,182,8,60,0.628,0.2708,0.0893,0.0119,491,69,326.2,476.95,1499.86,235.11,2579.82,49.0,233.6000000000006
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,,DE,Europe,16509-DE-Frankfurt am Main,3033588,756,664,62,0,30,0.8783,0.082,0.0397,0.0,749,85,95.67,183.2,1302.16,81.6,2119.6,17.0,216.39999999999964
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,Kraken,IE,Europe,1072-IE-Dublin,2945049,696,605,29,11,51,0.8693,0.0417,0.0733,0.0158,695,90,74.31,271.85,1597.24,29.85,1951.71,14.0,252.1199999999999
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,,LT,Europe,16125-LT-Vilnius,2916667,780,659,25,0,96,0.8449,0.0321,0.1231,0.0,729,70,52.6,90.16,903.62,37.22,1550.42,9.0,138.16000000000008
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,Drift,NL,Europe,20326-NL-Amsterdam,2909141,816,773,42,0,1,0.9473,0.0515,0.0012,0.0,852,79,65.97,175.17,1063.93,14.66,1899.84,13.0,181.15000000000032
7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,Blockdaemon 🧱👿 Validator,NL,Europe,20326-NL-Amsterdam,2745020,588,508,15,0,65,0.8639,0.0255,0.1105,0.0,609,101,30.84,421.18,2545.93,13.64,3490.59,5.0,362.5999999999998
3psxMyr7rQzywVp1MXKd1XFmFz33NjydzCoJx9t2sMQW,OtterSec,US,North America,395201-US-Sterling,2705770,636,285,282,6,63,0.4481,0.4434,0.0991,0.0094,318,33,366.17,517.53,1120.05,311.06,1741.59,58.0,174.91999999999962
GBQ2GvTzmjXMu97dr7WUnLKYTNim1aoZsYS53KYXAAAA,Bitwise Onchain Solutions | Jito BAM,NL,Europe,60068-NL-Amsterdam,2669328,744,657,57,0,30,0.8831,0.0766,0.0403,0.0,737,80,73.18,353.89,1771.29,20.35,2191.18,14.0,249.1199999999999
CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ,Nansen | Stake to Stack Points,SG,Asia,29802-SG-Singapore,2665097,624,485,82,0,57,0.7772,0.1314,0.0913,0.0,570,85,205.43,476.04,2014.07,161.36,2436.86,37.0,284.6199999999999
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,,LT,Europe,16125-LT-Vilnius,2502415,564,477,22,0,65,0.8457,0.039,0.1152,0.0,555,78,53.57,191.86,2624.08,38.12,3825.98,9.0,339.50000000000273
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,,NL,Europe,59642-NL-Amsterdam,2502415,756,632,12,0,112,0.836,0.0159,0.1481,0.0,723,91,26.3,144.75,1513.75,11.62,1897.34,4.0,248.1199999999999
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,,JP,Asia,20326-JP-Tokyo,2502395,696,500,55,0,141,0.7184,0.079,0.2026,0.0,597,97,175.88,298.02,1532.47,156.95,2360.28,30.0,233.15999999999985
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,,LT,Europe,16125-LT-Vilnius,2502391,636,533,25,0,78,0.8381,0.0393,0.1226,0.0,612,79,54.29,180.42,1573.41,37.95,2819.97,9.0,233.35999999999967
76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,,NL,Europe,20326-NL-Amsterdam,2502383,660,617,21,0,22,0.9348,0.0318,0.0333,0.0,688,71,25.76,86.97,803.13,12.68,1982.93,4.0,120.38999999999999
