country,n,p50,p95,p99,pct_ss_faster
DE,3792235,7.17,17.85,35.72,98.8
NL,2748486,7.27,17.86,37.96,98.85
US,1813471,7.72,17.34,34.05,99.32
GB,1298197,5.93,16.43,32.69,98.51
JP,1284339,5.95,16.36,31.73,97.23
CA,626863,7.91,16.77,31.43,99.73
LT,432181,8.75,17.72,37.86,99.82
SG,368352,9.27,18.15,28.76,99.86
IE,205823,7.77,19.38,39.18,98.35
LU,184885,8.8,18.68,33.16,99.81
SE,177420,7.92,19.66,48.85,98.18
FR,155308,9.15,17.93,33.45,99.92
BR,99619,6.04,14.29,31.35,99.22
HK,97987,7.23,15.34,34.3,99.29
IN,78497,9.34,17.26,26.49,99.95
